品类,商品产地,商品名称,规格,箱规,批发价,市场零售价,保质期
食品,中国台湾,莊家雪花方塊酥-黑糖,,300G*12,,33,12个月
食品,中国台湾,莊家雪花方塊酥-杏仁,,300G*12,,33,12个月
食品,中国台湾,莊家雪花方塊酥-咖啡,,300G*12,,33,12个月
食品,中国台湾,莊家阿里山小火车铁盒（限量版）,,245G*24,,55,12个月
食品,中国台湾,金安记黑胡椒牛肉干[90g],,90g*50,,30,270天
食品,中国台湾,金安记五香牛肉干[90g],,90g*50,,30,270天
食品,中国台湾,金安记香辣猪肉丝[120g],,120g*50,,30,10个月
食品,中国台湾,金安记香辣牛腱片[110g],,110g*50,,30,270天
食品,中国台湾,金安记蜜汁烧烤猪肉干[110g],,110g*50,,30,270天
食品,中国台湾,金安记双享包（黑胡椒牛肉&牛腱片）,,100g*20,,32,270天
食品,中国台湾,金安记双享包（卤香&蜜汁猪肉干）,,100g*20,,32,270天
食品,中国台湾,金安记双享包（五香牛肉干&香辣猪肉干）,,100g*20,,32,270天
食品,中国台湾,厚毅三角饼192g,,192g*12,,14,1年
食品,中国台湾,厚毅野菜棒192g,,192g*12,,14,1年
食品,中国台湾,庄家方块酥-莲子,,350g*12,,28,1年
食品,中国台湾,庄家方块酥-全麦,,350g*12,,28,1年
食品,中国台湾,庄家方块酥-海苔,,350g*12,,28,1年
食品,中国台湾,庄家方块酥-黑芝麻,,350g*12,,28,1年
食品,中国台湾,小班长点心脆面（鸡汁味）[240g*12],,240G*12,,20,1年
食品,中国台湾,小班长点心脆面(海苔味)[240g*12],,240G*12,,20,1年
食品,中国台湾,小班长青豆脆面（蒜香味）[240g*12],,240G*12,,20,1年
食品,中国台湾,小班长青豆脆面（香辣味）[240g*12],,240G*12,,20,1年
食品,中国台湾,小班长青豆脆面五连包（蒜香味）[25g*75],,25g*75,,15,1年
食品,中国台湾,小班长青豆脆面五连包（香辣味）[25g*75],,25g*75,,15,1年
食品,中国台湾,小班长点心脆面五连包（鸡汁味）[25g*75],,25g*75,,15,1年
食品,中国台湾,小班长点心脆面五连包（BBQ）[25g*75],,25g*75,,15,1年
食品,中国台湾,小班长丁香花生脆面五连包（披萨味）[25g*75],,25g*75,,15,1年
食品,中国台湾,小班长丁香花生脆面五连包（椒麻味）[25g*75],,25g*75,,15,1年
食品,中国台湾,竹叶堂小凤酥(原味),,500G*12,,37,1年
食品,中国台湾,竹叶堂小凤酥(黑糖),,500G*12,,37,1年
食品,中国台湾,竹叶堂小凤酥(葡萄),,500G*12,,37,1年
食品,中国台湾,竹叶堂无糖凤梨酥,,276G*20,,37,1年
食品,中国台湾,竹叶堂无糖凤梨酥,,150G*24,,18,1年
食品,中国台湾,第一家-鸡仔酥,,300g*24,,22,10个月
食品,中国台湾,第一家-榴莲酥,,230g*24,,22,10个月
食品,中国台湾,第一家-果仁酥,,230g*24,,22,11个月
食品,中国台湾,竹叶堂小麻糬（花生）[180g*20],,180g*20,,13,12个月
食品,中国台湾,竹叶堂小麻薯-芝麻[180g*20],,180g*20,,13,12个月
食品,中国台湾,竹叶堂小麻糬(黑糖)[180g*20],,180g*20,,13,12个月
食品,中国台湾,一本水果优酪（综合）,,335克*10,,16,12个月
食品,中国台湾,一本鲜梅果冻,,350克*10,,16,12个月
食品,中国台湾,一本鸡蛋布丁,,320克*10,,16,12个月
食品,中国台湾,一本水果优酪原味6kg,,6kg,,20,12个月
食品,中国台湾,一本水果优酪哈密瓜6kg,,6kg,,20,12个月
食品,中国台湾,一本水果优酪芒果6kg,,6kg,,20,12个月
食品,中国台湾,一本水果优酪草莓6kg,,6kg,,20,12个月
食品,中国台湾,一本水果优酪蓝莓6kg,,6kg,,20,1年
食品,中国台湾,一本鲜梅果冻6kg,,6kg,,20,1年
食品,中国台湾,一本鸡蛋布丁6kg,,6kg,,20,1年
食品,中国台湾,一本绿茶椰果果冻,,6kg,,20,1年
食品,中国台湾,一本荔枝椰果果冻,,6kg,,20,1年
食品,中国台湾,迷你小黑饼巧克力夹心,,600gX12包,,17,12个月
食品,中国台湾,迷你小黑饼柠檬夹心,,600gX12包,,17,12个月
食品,中国台湾,迷你小黑饼奶油夹心,,600gX12包,,17,12个月
食品,中国台湾,迷你小黑饼巧克力夹心,,300gX24包,,17,12个月
食品,中国台湾,迷你小黑饼柠檬夹心,,300gX24包,,17,12个月
食品,中国台湾,迷你小黑饼奶油夹心,,300gX24包,,17,12个月
食品,中国台湾,雪之恋手造麻薯芝麻,,180克*24,,10,12个月
食品,中国台湾,雪之恋手造麻薯绿茶,,180克*24,,10,12个月
食品,中国台湾,雪之恋手造麻薯红豆,,180克*24,,10,12个月
食品,中国台湾,雪之恋手造麻薯花生,,180克*24,,10,12个月
食品,中国台湾,雪之恋手造麻薯芋头,,180克*24,,10,12个月
食品,中国台湾,雪之恋手造麻薯黑糖,,180克*24,,10,12个月
食品,中国台湾,三点一刻原味奶茶,,20克*6包*24盒,,18,24个月
食品,中国台湾,三点一刻碳烧奶茶,,20克*6包*24盒,,18,24个月
食品,中国台湾,三点一刻伯爵奶茶,,20克*6包*24盒,,18,24个月
食品,中国台湾,三点一刻玫瑰花果奶茶,,20克*6包*24盒,,18,24个月
食品,中国台湾,三点一刻港式奶茶,,20克*6包*24盒,,18,24个月
食品,中国台湾,百回味蓝莓,,450g*24,,17,1年
食品,中国台湾,百回味黑加仑[450g],,450g*24,,17,1年
食品,中国台湾,百回味吕宋芒[350g],,350g*24,,17,1年
食品,中国台湾,百回味乌梅[400g],,400g*24,,20,1年
食品,中国台湾,百回味化痰陈皮[300g],,300g*24,,17,1年
食品,中国台湾,百回味杨梅王[430g],,430g*24,,20,1年
食品,中国台湾,百回味槟榔果[450g],,450g*24,,20,1年
食品,中国台湾,百回味加州西梅[420g],,420g*24,,20,1年
食品,中国台湾,百回味话梅皇,,260g*24,,20,1年
食品,中国台湾,百回味百核极品开胃,,450g*24,,20,1年
食品,中国台湾,百回味情人玫瑰,,400g*24,,20,1年
食品,中国台湾,茶与饼手工牛轧糖,,250g*36,,45,180天
食品,中国台湾,茶与饼手工凤梨酥,,250g*36,,45,180天
食品,中国台湾,巧顿刀削面[400g*18],,400g*18,,19,12个月
食品,中国台湾,巧顿关庙面[400g*18],,400g*18,,19,12个月
食品,中国台湾,"骨头造型铅笔盒
-特浓牛奶骨头餅",,110g*12,,25,12个月
食品,中国台湾,"骨头造型铅笔盒
黑糖牛奶骨头餅",,110g*12,,25,12个月
食品,中国台湾,宏亚77蜜兰诺松塔12入,,192克*15盒,,25,12个月
食品,中国台湾,EGO娘惹蛋酥（原味）[130g*24],,130g*24,,12,18个月
食品,中国台湾,EGO娘惹蛋酥（黑芝麻）[130g*24],,130g*24,,12,18个月
食品,中国台湾,EGO益果芦荟果冻[100g*3*32],,100g*3*32,,9,24个月
食品,中国台湾,EGO益果芒果味果冻[100g*3*32],,100g*3*32,,9,24个月
食品,中国台湾,EGO益果综合口味果冻[100gX3*32],,100gX3*32,,9,24个月
食品,中国台湾,EGO益果草莓味果冻[100gX6*16],,100gX6*16,,18,24个月
食品,中国台湾,EGO益果山竹味果冻[100gX6*16],,100gX6*16,,18,24个月
食品,中国台湾,EGO益果芦荟果冻[100gX6*16],,100gX6*16,,18,24个月
食品,中国台湾,EGO益果芒果味果冻[100gX6*16],,100gX6*16,,18,24个月
食品,中国台湾,EGO益果综合味果冻[100gX6*16],,100gX6*16,,18,24个月
食品,中国台湾,EGO益果奇异果果冻[100g*6*16],,100g*6*16,,18,18个月
食品,中国台湾,EGO益果香芋果冻[100g*6*16],,100g*6*16,,18,18个月
食品,中国台湾,EGO香椰斑兰味威化卷[360g*12],,360g*12,,35,24个月
食品,中国台湾,EGO香草味威化卷[360g*12],,360g*12,,35,24个月
